,КРАСНОДАРСКИЙ КРАЙ,КРАСНОДАРСКИЙ КРАЙ,СТАВРОПОЛЬСКИЙ КРАЙ,СТАВРОПОЛЬСКИЙ КРАЙ
,Прайс лист,Прайс лист,Прайс лист,Прайс лист
,реальные,теоретические,реальные,теоретические
date,,,,
2014-01-01,0.9650485269369422,14.002235242086307,-24.399669555982857,-23.784397728641927
2014-02-01,-8.684665542158669,6.498246587210826,-20.353659150545326,-18.814861412668076
2014-03-01,5.822014908181447,21.029383149219612,9.989441424859674,11.27120795309254
2014-04-01,25.069292412592098,39.97893747602949,39.97993600920868,41.44939740552206
2014-05-01,31.19093106050843,47.08700348082473,36.03789465504846,33.98632338777614
2014-06-01,19.300962089866648,35.467244787717775,10.053673738917464,14.472602940445881
2014-07-01,8.60210829869903,23.64109451340873,-0.3620054791043162,-2.710164584642542
2014-08-01,-11.787254816902848,2.334719658976394,,
2014-09-01,-34.62635410009132,-20.710176315510978,-17.16906342022217,-20.599
2014-10-01,-20.057527112506996,-6.687766048619427,-8.261589468037256,-8.531556379610672
2014-11-01,-18.707663601805073,-8.191712858106117,-14.870282162398045,-13.082282796032494
2014-12-01,-40.032649671977055,-31.322727022558894,,
2015-01-01,-91.32778949569749,-85.32464321712003,-82.85519840640475,-80.98428102899182
2015-02-01,-65.53687867020057,-57.59292323276705,-61.18561001371876,-62.25230893320146
2015-03-01,-30.864427741943178,-22.438873546995517,-24.66382200758788,-24.872006754834093
2015-04-01,33.11291039513348,29.85591666666667,41.85341160174658,40.42791818644174
2015-05-01,11.90707664713662,29.24483333333334,27.828553224426866,26.3085616827832
2015-06-01,-5.026166794106572,10.999666666666668,-2.560788741836774,-2.353768482268519
2015-07-01,0.5998848268916668,5.862272850974287,13.260540523351294,14.076698492628706
2015-08-01,-16.391143686270198,-14.529439882599368,,
2015-09-01,-11.559251732827157,-6.792690042540797,-5.265214224961239,-5.370704307602063
2015-10-01,-6.129461418954082,1.0137182955555915,-3.2327130081984343,-3.390265539166719
2015-11-01,-15.802905388836635,-8.567963334259536,-20.45719011360891,-19.47473153127142
2015-12-01,,,-27.068262545016495,-26.08432739778493
2016-01-01,-24.5507053550905,-15.50148292588504,-26.364824041267735,-24.71871483560275
2016-02-01,-4.700573414647897,2.698261247095759,-1.1187659917731307,-1.5094794072608793
2016-03-01,10.121237181341177,20.11972633549692,19.65942127243062,19.387432085527404
2016-04-01,25.316744885371804,36.04144499200604,30.155533216853584,29.70948644776137
2016-05-01,23.177747339590073,29.97613735560598,49.86750754886213,49.49424642502954
2016-06-01,13.028857205874965,23.903220486542743,31.019792916163265,27.996999999999996
2016-07-01,19.85563427077782,30.944629242919213,31.85129992712501,31.042227864821278
2016-08-01,,,,
2016-09-01,-1.1276611679256725,5.871015804502433,3.7722402882404995,0.4968333333333338
2016-10-01,-8.621703842509906,-1.1215648478135614,,
2016-11-01,-6.046744960444167,4.343831901769239,,
2016-12-01,,,11.71234908058998,8.262458333333337
2017-01-01,,,,
2017-02-01,,,,
2017-03-01,-1.8399462133236215,15.758481288681798,14.8698070116084,15.30246652985811
2017-04-01,28.00783921186431,45.81676893544707,28.743713842891378,31.845360728627014
2017-05-01,17.238291252278255,35.28329793051312,41.09427023682266,41.499467228125255
2017-06-01,17.61162862275578,35.51505300927252,41.39754709279001,41.608985030613816
2017-07-01,-4.771857428359453,2.0867931330314504,,
2017-08-01,-9.474486102230514,3.1978392572625873,2.9162650600836946,3.619337117507663
2017-09-01,-32.09273127208041,-13.222108778116374,-12.89908523327256,-13.41173486681232
2017-10-01,-22.38291652885817,-8.832728199349786,-16.4620901755778,-16.852815412167953
2017-11-01,,,,
2017-12-01,,,,
2018-01-01,18.68497881970093,36.172483629253136,21.15745378778312,21.156521819616465
2018-02-01,8.061280503583518,25.66305175247461,25.024976768705933,24.953673549445515
2018-03-01,25.797918559666364,34.48589905222912,28.954946580814138,29.009279504523498
2018-04-01,21.09011600853628,29.457337621020518,30.01196244667743,26.19341813725266
2018-05-01,,,6.898154999167632,6.369193225833271
2018-06-01,,,,
2018-07-01,-24.20687942486055,-15.266209548853661,-19.78242748587603,-21.523550235893335
2018-08-01,-27.85069602877544,-20.80242184118622,-26.204440111517222,-27.646784817090627
2018-09-01,,,,
2018-10-01,-8.6089733729779,4.531916666666667,5.322235667264593,5.1813324090781405
2018-11-01,3.3282587074111265,18.489244741828404,1.7530956504434447,1.6426169346838695
