"","consumption","income"
"1",0.61227692,0.496540045
"2",0.454929794,1.736459591
"3",0.874673021,1.344880981
"4",-0.272514385,-0.328145953
"5",1.892186993,1.965432327
"6",0.913378185,1.490757133
"7",0.792857898,0.442927733
"8",1.649995662,1.050230993
"9",1.32724825,0.629713564
"10",1.889905062,0.934207242
"11",1.532724163,2.024456496
"12",2.317057775,3.901784825
"13",1.813855694,1.129195652
"14",-0.050557716,0.981487307
"15",0.359667223,0.503626895
"16",-0.293315461,1.211474571
"17",-0.878770942,-1.546943855
"18",0.346720029,-0.860297695
"19",0.411953557,0.310671244
"20",-1.47820468,-0.452458059
"21",0.837359874,-0.393048299
"22",1.653973693,4.564235521
"23",1.414318836,-1.359432036
"24",1.053109931,1.006575406
"25",1.97774749,1.462092078
"26",0.915072184,0.819999864
"27",1.050746068,0.896376224
"28",1.295196193,0.715996597
"29",1.135458885,0.082385052
"30",0.551532397,1.131054305
"31",0.950159598,1.490114704
"32",1.496161496,1.995499552
"33",0.582299782,0.614904129
"34",2.11467168,1.141343133
"35",0.418698865,0.808026906
"36",0.802764302,0.782540078
"37",0.50412878,1.087249832
"38",-0.058551127,-0.700631545
"39",0.977555967,0.568900915
"40",0.26591209,0.797134552
"41",-0.173684254,0.279831351
"42",-2.296562996,-1.409415369
"43",1.066919835,1.02444505
"44",1.32441742,2.043130338
"45",0.54583283,-0.229300048
"46",0,0.01377284
"47",0.404821844,2.193050433
"48",-0.758748833,0.201893379
"49",0.643998142,0.116463988
"50",0.356859498,0.69817265
"51",0.76412375,0.436938581
"52",1.807886611,0.351269015
"53",0.975937338,0.784231599
"54",1.96559809,0.72600744
"55",1.751349705,1.489909944
"56",1.573740048,2.042140999
"57",0.853227275,2.163513516
"58",1.420025736,1.707008683
"59",0.769502001,1.545359737
"60",1.307478026,0.946974902
"61",1.681281553,-0.246259445
"62",0.907910806,1.966841071
"63",1.880850439,-0.620830801
"64",0.219864034,1.030018787
"65",0.831533592,1.18335512
"66",1.059663705,1.128116143
"67",1.732441717,0.523753063
"68",0.600062434,0.059897054
"69",-0.152288,0.611885129
"70",1.329357293,-1.09018891
"71",1.110416851,1.772266694
"72",0.240125469,1.410476141
"73",1.656928516,1.248862406
"74",0.723060308,0.934536046
"75",0.786814118,0.766858588
"76",1.170680141,0.896061766
"77",0.365226244,1.130999186
"78",0.446943251,-0.411533933
"79",1.031342865,0.645197097
"80",0.487945312,0.762948357
"81",0.787867942,0.750360325
"82",0.329588878,0.655150176
"83",0.379094008,0.072718052
"84",-0.782282375,-0.676795704
"85",-0.283580869,0.307585359
"86",0.758193783,0.755588074
"87",0.382567416,0.21195715
"88",-0.044932041,0.649885878
"89",1.70442848,1.497981581
"90",0.591033456,0.763512573
"91",1.099312177,0.506330196
"92",1.212615834,1.412562187
"93",0.405115351,-1.477541558
"94",0.955401523,1.543168336
"95",1.079080891,0.212590891
"96",0.886099341,1.46302707
"97",1.107815847,-0.400479849
"98",0.73801073,1.69184918
"99",0.79832641,0.73204843
"100",0.982355812,1.317421015
"101",0.116703636,0.646210704
"102",0.816439436,0.009071803
"103",0.890123271,0.745603285
"104",0.700256683,0.591013847
"105",0.909995107,1.059530012
"106",1.125174154,1.068869375
"107",0.597491051,0.847813936
"108",0.811049811,0.547321447
"109",1.002314791,0.890373141
"110",0.40370845,0.748012589
"111",1.685618761,1.138248868
"112",1.137796247,1.379965421
"113",0.989350157,2.248544314
"114",1.706687585,1.417721496
"115",1.316901051,1.04531261
"116",1.522383594,0.730112366
"117",0.981498554,0.675449171
"118",1.56147049,0.228461748
"119",1.194790348,0.64491755
"120",1.400264206,1.55565084
"121",1.505040637,2.079917327
"122",0.935882738,1.019653998
"123",0.974321842,1.055609188
"124",0.88064976,0.149548646
"125",0.398685386,0.7480245
"126",0.376512295,-0.274110069
"127",0.439188594,2.514669298
"128",1.553691,-1.173044414
"129",0.343826889,2.659477606
"130",0.506654039,0.549165469
"131",0.675711941,-0.343744371
"132",0.354724654,0.23623426
"133",0.503872727,0.367138124
"134",0.985555729,1.501775306
"135",1.337666705,1.39003078
"136",0.542546733,0.573803177
"137",0.880747948,0.443164179
"138",0.443979489,0.983686803
"139",0.870378697,0.666082163
"140",1.073951523,1.388903698
"141",0.793938878,-1.225522766
"142",0.984778893,0.701673549
"143",0.756278018,0.594778066
"144",0.248197873,0.545328307
"145",1.01902713,1.85567861
"146",0.600482189,0.882341774
"147",0.59799998,0.479144681
"148",0.925841126,1.302357376
"149",0.554241245,0.451389832
"150",0.38257957,0.149334878
"151",0.43929546,0.392083863
"152",0.294658721,0.548559897
"153",-0.252665213,1.430770981
"154",-0.03553182,1.973964634
"155",-0.971774467,-2.308604067
"156",-1.313503998,-0.057706851
"157",-0.387483995,-0.969060881
"158",-0.470083019,0.063290188
"159",0.574000955,-1.392556217
"160",0.109328853,-0.144713401
"161",0.671017951,1.187165135
"162",0.717718191,1.354354721
"163",0.653143257,0.561169813
"164",0.875352148,0.37105794
